Pattern,MatchesList,Use,Matches,Clue,Answer,Quality,Difficulty,Reviewed
be_ore,"['before', 'begore']",n,before begore,,,,,TRUE
_uring,"['during', 'curing']",n,during curing,,,,,TRUE
d_ring,"['during', 'daring']",n,during daring,,,,,TRUE
_umber,"['number', 'lumber', 'cumber']",n,number lumber cumber,,,,,TRUE
uni_ed,"['united', 'uniped']",n,united uniped,,,,,TRUE
unite_,"['united', 'uniter']",n,united uniter,,,,,TRUE
_ittle,"['little', 'tittle', 'kittle']",n,little tittle kittle,,,,,TRUE
scho_l,"['school', 'schorl']",n,school schorl,,,,,TRUE
sec_nd,"['second', 'secund']",n,second secund,,,,,TRUE
_eport,"['report', 'deport']",n,report deport,,,,,TRUE
re_ort,"['report', 'resort', 'retort']",y,report resort retort,Retreat comeback,Resort retort,3,,TRUE
_aving,"['having', 'saving', 'paving', 'raving']",n,having saving paving raving,,,,,TRUE
_ounty,"['county', 'bounty', 'mounty']",n,county bounty mounty,,,,,TRUE
_ourse,"['course', 'bourse']",n,course bourse,,,,,TRUE
co_rse,"['course', 'coarse']",y,course coarse,Rough route,Coarse course,2,,TRUE
_ffect,"['effect', 'affect']",n,effect affect,,,,,TRUE
e_fect,"['effect', 'enfect']",n,effect enfect,,,,,TRUE
_hough,"['though', 'chough', 'shough']",n,though chough shough,,,,,TRUE
t_ough,"['though', 'trough']",n,though trough,,,,,TRUE
p_rson,"['person', 'parson']",n,person parson,,,,,TRUE
per_on,"['person', 'perron']",n,person perron,,,,,TRUE
_ealth,"['health', 'wealth', 'dealth']",n,health wealth dealth,,,,,TRUE
hea_th,"['health', 'hearth']",y,health hearth,Fireplace vigor,Hearth health,3,,TRUE
cha_ge,"['change', 'charge']",n,change charge,,,,,TRUE
chan_e,"['change', 'chance']",n,change chance,,,,,TRUE
f_mily,"['family', 'fumily']",n,family fumily,,,,,TRUE
_ither,"['either', 'hither', 'wither', 'zither', 'tither', 'lither']",n,either hither wither zither tither lither,,,,,TRUE
_ather,"['rather', 'father', 'gather', 'mather', 'lather', 'bather']",y,rather father gather mather lather bather,Pop in a tub,Father bather,3,,TRUE
r_ther,"['rather', 'rother']",n,rather rother,,,,,TRUE
ra_her,"['rather', 'rasher']",y,rather rasher,Prefer a bit of bacon,Rather rasher,3,,TRUE
rat_er,"['rather', 'ratter']",n,rather ratter,,,,,TRUE
_igure,"['figure', 'ligure']",n,figure ligure,,,,,TRUE
fi_ure,"['figure', 'fixure']",n,figure fixure,,,,,TRUE
_atter,"['matter', 'latter', 'batter', 'patter', 'hatter', 'natter', 'tatter', 'ratter']",n,matter latter batter patter hatter natter tatter ratter,,,,,TRUE
m_tter,"['matter', 'mutter']",n,matter mutter,,,,,TRUE
ma_ter,"['matter', 'master']",y,matter master,Stuff virtuoso,Matter master,3,,TRUE
mat_er,"['matter', 'mather']",n,matter mather,,,,,TRUE
matte_,"['matter', 'matted']",n,matter matted,,,,,TRUE
_etter,"['better', 'letter', 'fetter', 'setter', 'getter', 'tetter', 'jetter']",n,better letter fetter setter getter tetter jetter,,,,,TRUE
b_tter,"['better', 'butter', 'bitter', 'batter']",n,better butter bitter batter,,,,,TRUE
be_ter,"['better', 'beater']",n,better beater,,,,,TRUE
bett_r,"['better', 'bettor']",n,better bettor,,,,,TRUE
_aking,"['making', 'taking', 'baking', 'waking', 'raking']",n,making taking baking waking raking,,,,,TRUE
ma_ing,"['making', 'maying']",n,making maying,,,,,TRUE
_ature,"['nature', 'mature']",y,nature mature,Old forest,Mature nature,3,,TRUE
poli_y,"['policy', 'polity']",n,policy polity,,,,,TRUE
polic_,"['policy', 'police']",y,policy police,Cop rules,Police policy,2,,TRUE
bec_me,"['become', 'became']",n,become became,,,,,TRUE
_round,"['around', 'ground']",y,around ground,Girt by dirt,Ground around,2,,TRUE
a_ound,"['around', 'abound']",n,around abound,,,,,TRUE
_ondon,"['london', 'fondon']",n,london fondon,,,,,TRUE
metho_,"['method', 'methol']",n,method methol,,,,,TRUE
_nergy,"['energy', 'anergy']",n,energy anergy,,,,,TRUE
stre_t,"['street', 'streit']",n,street streit,,,,,TRUE
stree_,"['street', 'streel', 'streek', 'streen']",n,street streel streek streen,,,,,TRUE
mar_et,"['market', 'mariet']",n,market mariet,,,,,TRUE
marke_,"['market', 'marked', 'marker', 'markee']",n,market marked marker markee,,,,,TRUE
_eason,"['reason', 'season', 'geason']",n,reason season geason,,,,,TRUE
_ingle,"['single', 'mingle', 'jingle', 'tingle', 'dingle', 'lingle', 'pingle', 'gingle', 'cingle']",n,single mingle jingle tingle dingle lingle pingle gingle cingle,,,,,TRUE
singl_,"['single', 'singly']",n,single singly,,,,,TRUE
f_ther,"['father', 'fother']",n,father fother,,,,,TRUE
fat_er,"['father', 'fatner']",n,father fatner,,,,,TRUE
_nough,"['enough', 'ynough']",n,enough ynough,,,,,TRUE
_uture,"['future', 'suture']",n,future suture,,,,,TRUE
fu_ure,"['future', 'fusure']",n,future fusure,,,,,TRUE
_rowth,"['growth', 'crowth', 'drowth']",n,growth crowth drowth,,,,,TRUE
be_ame,"['became', 'bename']",n,became bename,,,,,TRUE
_esign,"['design', 'resign']",y,design resign,Quit motif,Resign design,2,,TRUE
_other,"['mother', 'bother', 'nother', 'rother', 'pother', 'fother']",y,mother bother nother rother pother fother,Pester mama,Bother mother,2,,TRUE
m_ther,"['mother', 'mather']",n,mother mather,,,,,TRUE
mothe_,"['mother', 'mothen']",n,mother mothen,,,,,TRUE
_eturn,"['return', 'deturn']",n,return deturn,,,,,TRUE
ann_al,"['annual', 'anneal']",y,annual anneal,Heat and cool yearly,Annual anneal,3,,TRUE
re_ord,"['record', 'reword', 'remord']",y,record reword remord,Paraphrase vinyl,Reword record,3,,TRUE
l_tter,"['letter', 'latter', 'litter']",n,letter latter litter,,,,,TRUE
le_ter,"['letter', 'lester']",n,letter lester,,,,,TRUE
_enter,"['center', 'renter', 'venter', 'tenter']",n,center renter venter tenter,,,,,TRUE
c_nter,"['center', 'canter', 'cinter']",n,center canter cinter,,,,,TRUE
cen_er,"['center', 'censer']",n,center censer,,,,,TRUE
rea_ly,"['really', 'rearly']",n,really rearly,,,,,TRUE
real_y,"['really', 'realty']",y,really realty,Seriously property,Really realty,3,,TRUE
sour_e,"['source', 'sourde']",n,source sourde,,,,,TRUE
no_ice,"['notice', 'novice', 'norice']",y,notice novice norice,Spot a rookie,Notice novice,3,,TRUE
_rench,"['french', 'trench', 'wrench', 'drench']",n,french trench wrench drench,,,,,TRUE
f_ench,"['french', 'flench']",n,french flench,,,,,TRUE
s_rong,"['strong', 'sarong', 'sprong']",y,strong sarong sprong,Sturdy dress,Strong sarong,3,,TRUE
str_ng,"['strong', 'string', 'strung', 'strang']",n,strong string strung strang,,,,,TRUE
stron_,"['strong', 'strond']",n,strong strond,,,,,TRUE
_iving,"['living', 'giving', 'diving']",y,living giving diving,Plummeting alive,Diving living,2,,TRUE
l_ving,"['living', 'loving']",n,living loving,,,,,TRUE
li_ing,"['living', 'lining', 'liking']",n,living lining liking,,,,,TRUE
suppl_,"['supply', 'supple']",y,supply supple,Lithe stash,Supple supply,3,,TRUE
ta_ing,"['taking', 'taring']",n,taking taring,,,,,TRUE
_anner,"['manner', 'banner', 'tanner', 'fanner', 'lanner', 'vanner']",n,manner banner tanner fanner lanner vanner,,,,,TRUE
man_er,"['manner', 'manger', 'mander']",y,manner manger mander,Air trough,Manner manger,1,,TRUE
volu_e,"['volume', 'volute']",n,volume volute,,,,,TRUE
_oward,"['toward', 'coward']",y,toward coward,Approaching a chicken,Toward coward,3,,TRUE
char_e,"['charge', 'charte', 'charre']",n,charge charte charre,,,,,TRUE
de_ree,"['degree', 'decree']",y,degree decree,Order extent,Decree degree,3,,TRUE
_otion,"['motion', 'notion', 'lotion', 'potion']",,motion notion lotion potion,Cognitive concoction,Notion potion,2,,TRUE
mo_ion,"['motion', 'morion']",,motion morion,,,,,TRUE
_egion,"['region', 'legion']",,region legion,,,,,TRUE
regi_n,"['region', 'regian']",,region regian,,,,,TRUE
_ormal,"['normal', 'formal', 'mormal', 'wormal']",,normal formal mormal wormal,,,,,TRUE
norma_,"['normal', 'norman']",,normal norman,,,,,TRUE
appea_,"['appear', 'appeal']",,appear appeal,,,,,TRUE
la_ter,"['latter', 'laster']",,latter laster,,,,,TRUE
lat_er,"['latter', 'lather']",,latter lather,,,,,TRUE
latte_,"['latter', 'latten']",,latter latten,,,,,TRUE
_oment,"['moment', 'foment', 'loment']",,moment foment loment,Stir up time,Foment moment,2,,TRUE
mo_ent,"['moment', 'movent']",,moment movent,,,,,TRUE
_ecent,"['recent', 'decent']",,recent decent,,,,,TRUE
re_ent,"['recent', 'regent', 'repent', 'resent', 'relent', 'retent']",,recent regent repent resent relent retent,,,,,TRUE
rec_nt,"['recent', 'recant']",,recent recant,Just taken back,Recent recant,2,,TRUE
rece_t,"['recent', 'receit']",,recent receit,,,,,TRUE
ext_nt,"['extent', 'extant']",,extent extant,,,,,TRUE
exten_,"['extent', 'extend']",,extent extend,Degree of stretch,Extend extent,3,,TRUE
_onger,"['longer', 'conger', 'monger', 'wonger']",,longer conger monger wonger,,,,,TRUE
l_nger,"['longer', 'linger', 'lenger']",,longer linger lenger,,,,,TRUE
lo_ger,"['longer', 'lodger', 'logger']",,longer lodger logger,Stretched lumberjack,Longer logger,2,,TRUE
a_gust,"['august', 'angust']",,august angust,,,,,TRUE
li_ely,"['likely', 'lively', 'lifely']",,likely lively lifely,Probably jumping,Likely lively,2,,TRUE
_ormer,"['former', 'dormer']",,former dormer,,,,,TRUE
